date,vendor,amount,department,category,payment_method,invoice_no,notes
2025-01-23,Employee Reimbursement - Vikram Rao,2569.16,Operations,,Reimbursement,REB-20250035,type=reimbursement; claimant=Vikram Rao
2025-01-16,HDFC Bank Charges,3125.58,Sales,Other,UPI,NOR-20250690,type=normal; cycle=adhoc
2025-01-13,Google Workspace,16952.18,Engineering,Marketing,Bank Transfer,NOR-20250984,type=normal; cycle=quarterly
2025-01-26,Razorpay Fees,12202.74,Infrastructure,Software,UPI,NOR-20250447,type=normal; cycle=quarterly
2025-01-24,Adobe Creative Cloud,24544.84,Marketing,Vendors,Bank Transfer,NOR-20251413,type=normal; cycle=adhoc
2025-01-10,LinkedIn Recruiter,18461.96,Design,Software,Bank Transfer,NOR-20250284,type=normal; cycle=monthly
2025-01-20,GitHub Enterprise,19446.17,Design,Other,Bank Transfer,NOR-20251068,type=normal; cycle=adhoc
2025-01-25,Dropbox Business,8547.35,,,Credit Card,NOR-20251336,type=normal; cycle=adhoc
2025-01-15,Ola Corporate,5083.90,Product,,UPI,NOR-20251019,type=normal; cycle=quarterly
2025-01-15,Spectrum Tech,35071.68,Product,,Credit Card,DUP-20250029,type=duplicate; pair=029; copy=2
2025-01-04,Airtel Broadband,8801.82,Product,Office,Bank Transfer,NOR-20251219,type=normal; cycle=monthly
2025-01-10,Jio Fiber,11700.98,,,Bank Transfer,NOR-20250363,type=normal; cycle=monthly
2025-01-21,Airtel Broadband,23102.32,HR & Admin,Software,UPI,NOR-20251033,type=normal; cycle=quarterly
2025-01-14,Dropbox Business,588.96,Operations,,Credit Card,NOR-20250394,type=normal; cycle=monthly
2025-01-28,GCP BigQuery,135148.77,Sales,Vendors,Credit Card,HSP-20250143,type=high_spend; variance_band=v3
2025-01-20,Atlassian,6060.17,,,UPI,NOR-20250402,type=normal; cycle=quarterly
2025-01-11,Proxima Solutions,68085.32,HR & Admin,,Credit Card,DUP-20250061,type=duplicate; pair=061; copy=2
2025-01-31,Freshworks,20487.28,Marketing,,Bank Transfer,NOR-20250627,type=normal; cycle=monthly
2025-01-05,Uber for Business,27058.47,Design,,UPI,NOR-20251427,type=normal; cycle=adhoc
2025-01-31,Google Ads,74533.08,Infrastructure,,Credit Card,HSP-20250199,type=high_spend; variance_band=v1
2025-01-31,Figma,6002.90,Product,Marketing,UPI,NOR-20251276,type=normal; cycle=adhoc
2025-01-10,Canva Teams,20771.23,Marketing,Office,Credit Card,NOR-20250611,type=normal; cycle=monthly
2025-01-15,Jio Fiber,1460.60,Infrastructure,,UPI,NOR-20250847,type=normal; cycle=monthly
2025-01-23,Zoom Communications,21536.70,Sales,,Credit Card,NOR-20250450,type=normal; cycle=quarterly
2025-01-08,Notion Labs,532.05,Product,Software,Credit Card,NOR-20250523,type=normal; cycle=adhoc
2025-01-12,Snowflake,50226.06,Marketing,Marketing,Bank Transfer,HSP-20250235,type=high_spend; variance_band=v1
2025-01-05,Slack Technologies,9075.74,Design,,Bank Transfer,NOR-20251353,type=normal; cycle=quarterly
2025-01-17,Datadog,14267.59,Design,Equipment,Credit Card,NOR-20250654,type=normal; cycle=monthly
2025-01-31,Atlassian,6021.00,,Marketing,Bank Transfer,NOR-20250850,type=normal; cycle=quarterly
2025-01-22,Apex Services,9851.50,Sales,,Bank Transfer,DUP-20250077,type=duplicate; pair=077; copy=2
2025-01-28,Urban Company,10116.55,Product,Software,Bank Transfer,NOR-20250486,type=normal; cycle=adhoc
2025-01-21,ICICI Bank Charges,26616.95,Sales,,UPI,NOR-20250606,type=normal; cycle=adhoc
2025-01-14,Uber for Business,20369.01,Sales,Marketing,Bank Transfer,NOR-20251235,type=normal; cycle=quarterly
2025-01-02,Zomato Business,20963.37,HR & Admin,Vendors,Bank Transfer,NOR-20250150,type=normal; cycle=adhoc
2025-01-08,Oracle Cloud,223304.27,Engineering,Vendors,Credit Card,HSP-20250013,type=high_spend; variance_band=v2
2025-01-24,Airtel Broadband,6419.12,Product,Marketing,Credit Card,NOR-20251278,type=normal; cycle=monthly
2025-01-28,AWS Cloud Services,19480.26,Marketing,,Bank Transfer,NOR-20250706,type=normal; cycle=quarterly
2025-01-21,Slack Technologies,6949.82,Engineering,Equipment,Credit Card,NOR-20250002,type=normal; cycle=adhoc
2025-01-30,Jio Fiber,1559.02,Sales,Marketing,UPI,NOR-20250172,type=normal; cycle=adhoc
2025-01-09,Zoom Communications,10980.86,HR & Admin,,Bank Transfer,NOR-20250665,type=normal; cycle=quarterly
2025-01-07,Swiggy Corporate,4146.05,,,UPI,NOR-20250683,type=normal; cycle=monthly
2025-01-11,Zenith Rare Vendor 004,22189.07,Engineering,Vendors,Bank Transfer,RVR-20250003,type=rare_vendor; first_seen=true
2025-01-03,Vendor ABC Pvt Ltd,69419.78,Engineering,Office,Bank Transfer,DUP-20250035,type=duplicate; pair=035; copy=2
2025-01-18,Google Workspace,13876.25,Design,,UPI,NOR-20250392,type=normal; cycle=monthly
2025-01-25,HubSpot Enterprise,47883.04,Engineering,Marketing,Bank Transfer,HSP-20250096,type=high_spend; variance_band=v3
2025-01-09,Urban Company,5793.53,Engineering,Vendors,UPI,NOR-20250129,type=normal; cycle=monthly
2025-01-26,Azure Compute,189123.35,Marketing,,Bank Transfer,HSP-20250183,type=high_spend; variance_band=v3
2025-01-01,Nimbus Data Labs,50383.86,,,Bank Transfer,DUP-20250040,type=duplicate; pair=040; copy=1
2025-01-17,GitHub Enterprise,1990.33,Design,,UPI,NOR-20250940,type=normal; cycle=adhoc
2025-01-06,Spectrum Tech,37873.86,HR & Admin,Office,Bank Transfer,DUP-20250018,type=duplicate; pair=018; copy=2
2025-01-30,Zomato Business,9719.45,HR & Admin,,Credit Card,NOR-20250221,type=normal; cycle=adhoc
2025-01-05,Postman,13542.11,Sales,,Bank Transfer,NOR-20251191,type=normal; cycle=monthly
2025-01-19,AWS Enterprise Support,22837.60,Marketing,,Credit Card,HSP-20250141,type=high_spend; variance_band=v3
2025-01-09,Atlassian,2066.01,Engineering,,Bank Transfer,NOR-20250956,type=normal; cycle=adhoc
2025-01-27,Jio Fiber,2087.16,HR & Admin,,UPI,NOR-20250738,type=normal; cycle=quarterly
2025-01-04,IndiaMART,25026.78,Sales,Office,Bank Transfer,NOR-20251221,type=normal; cycle=monthly
2025-01-17,Uber for Business,20311.03,Marketing,,UPI,NOR-20251275,type=normal; cycle=adhoc
2025-01-29,AWS Enterprise Support,180660.07,Marketing,Equipment,Bank Transfer,HSP-20250094,type=high_spend; variance_band=v1
2025-01-11,Quantum Office Supply,55642.26,Sales,,Credit Card,DUP-20250067,type=duplicate; pair=067; copy=1
2025-01-26,Apex Services,9851.50,Sales,Office,Bank Transfer,DUP-20250077,type=duplicate; pair=077; copy=1
2025-01-23,Swiggy Corporate,2831.07,Design,Office,UPI,NOR-20250436,type=normal; cycle=monthly
2025-01-10,Google Workspace,4788.55,Engineering,Vendors,UPI,NOR-20251001,type=normal; cycle=adhoc
2025-01-27,Adobe Creative Cloud,4808.45,Engineering,Travel,Bank Transfer,NOR-20250281,type=normal; cycle=adhoc
2025-01-27,Azure Compute,133855.87,Sales,,Credit Card,HSP-20250176,type=high_spend; variance_band=v1
2025-01-30,Google Workspace,24248.85,Design,Travel,Credit Card,NOR-20250014,type=normal; cycle=monthly
2025-01-02,Razorpay Fees,23350.88,Design,Marketing,UPI,NOR-20250353,type=normal; cycle=monthly
2025-01-24,Datadog,10489.63,Design,,Credit Card,NOR-20251244,type=normal; cycle=quarterly
2025-01-06,Canva Teams,20272.67,HR & Admin,,Credit Card,NOR-20251360,type=normal; cycle=monthly
2025-01-25,Cloudflare,14060.07,Infrastructure,,Bank Transfer,NOR-20250358,type=normal; cycle=adhoc
2025-01-03,GitHub Enterprise,8317.15,Operations,Marketing,Bank Transfer,NOR-20250932,type=normal; cycle=quarterly
2025-01-24,HubSpot Enterprise,184041.21,Infrastructure,Software,Credit Card,HSP-20250212,type=high_spend; variance_band=v3
2025-01-02,Notion Labs,13425.90,Product,,Credit Card,NOR-20250479,type=normal; cycle=quarterly
2025-01-19,Razorpay Fees,19517.01,HR & Admin,Office,Bank Transfer,NOR-20250867,type=normal; cycle=adhoc
2025-01-31,Canva Teams,2340.43,Design,Travel,Credit Card,NOR-20251105,type=normal; cycle=quarterly
2025-01-22,Ola Corporate,22706.46,Design,,Bank Transfer,NOR-20251087,type=normal; cycle=monthly
2025-01-10,Notion Labs,15831.96,Product,,Bank Transfer,NOR-20251237,type=normal; cycle=adhoc
2025-01-09,AWS Cloud Services,27731.81,Operations,Software,Bank Transfer,NOR-20251311,type=normal; cycle=monthly
2025-01-29,Jio Fiber,14244.77,Engineering,,Bank Transfer,NOR-20250096,type=normal; cycle=quarterly
2025-01-05,Apex Services,73874.53,Sales,Other,Credit Card,DUP-20250049,type=duplicate; pair=049; copy=1
2025-01-03,HDFC Bank Charges,21864.39,Design,Other,UPI,NOR-20250192,type=normal; cycle=quarterly
2025-01-14,Zoom Communications,28731.14,Sales,Other,UPI,NOR-20250746,type=normal; cycle=monthly
2025-01-18,Microsoft 365,13979.90,HR & Admin,,Bank Transfer,NOR-20251239,type=normal; cycle=monthly
2025-01-07,Ola Corporate,25734.63,Engineering,,Bank Transfer,NOR-20250997,type=normal; cycle=monthly
2025-01-15,BluePeak Systems,39384.49,HR & Admin,,Credit Card,DUP-20250013,type=duplicate; pair=013; copy=1
2025-01-05,Meta Ads,91035.18,Sales,,Bank Transfer,HSP-20250118,type=high_spend; variance_band=v1
2025-01-02,HDFC Bank Charges,12176.27,,,UPI,NOR-20250183,type=normal; cycle=adhoc
2025-01-16,HDFC Bank Charges,10458.15,,Vendors,UPI,NOR-20250426,type=normal; cycle=adhoc
2025-01-11,HubSpot Enterprise,198364.00,Infrastructure,Equipment,Credit Card,HSP-20250043,type=high_spend; variance_band=v3
2025-01-01,Oracle Cloud,203429.17,Infrastructure,,Bank Transfer,HSP-20250172,type=high_spend; variance_band=v2
2025-01-15,AWS Cloud Services,8611.39,Operations,,UPI,NOR-20251435,type=normal; cycle=adhoc
2025-01-28,Miro,29342.06,Infrastructure,Travel,Credit Card,NOR-20250536,type=normal; cycle=quarterly
2025-01-01,Notion Labs,26288.62,Product,Software,UPI,NOR-20250168,type=normal; cycle=quarterly
2025-01-17,BluePeak Systems,22294.45,Design,Other,Bank Transfer,DUP-20250003,type=duplicate; pair=003; copy=1
2025-01-31,Uber for Business,15213.41,HR & Admin,Office,Credit Card,NOR-20250338,type=normal; cycle=monthly
2025-01-16,Freshworks,24236.32,Sales,Office,Credit Card,NOR-20250810,type=normal; cycle=quarterly
2025-01-21,Urban Company,5406.99,Engineering,Equipment,UPI,NOR-20250473,type=normal; cycle=adhoc
2025-01-20,Cloudflare,19394.13,Design,Office,Credit Card,NOR-20250483,type=normal; cycle=adhoc
2025-01-07,Helix Rare Vendor 015,57274.90,Sales,,Bank Transfer,RVR-20250014,type=rare_vendor; first_seen=true
2025-01-14,Canva Teams,7359.13,Sales,,UPI,NOR-20250811,type=normal; cycle=adhoc
2025-01-06,Azure Compute,90166.65,Infrastructure,,Credit Card,HSP-20250056,type=high_spend; variance_band=v3
2025-01-26,Atlassian,25822.98,,Marketing,UPI,NOR-20250209,type=normal; cycle=quarterly
2025-01-26,GitHub Enterprise,22690.94,Sales,Software,UPI,NOR-20250623,type=normal; cycle=quarterly
2025-01-03,LinkedIn Recruiter,7421.50,HR & Admin,Vendors,UPI,NOR-20250869,type=normal; cycle=adhoc
2025-01-22,Google Workspace,14337.93,HR & Admin,,Credit Card,NOR-20251228,type=normal; cycle=quarterly
2025-01-11,LinkedIn Recruiter,4752.58,Marketing,Software,Bank Transfer,NOR-20250169,type=normal; cycle=quarterly
2025-01-31,Meta Ads,49701.66,,,Bank Transfer,HSP-20250087,type=high_spend; variance_band=v2
2025-01-08,GitHub Enterprise,14584.90,Operations,,Bank Transfer,NOR-20250380,type=normal; cycle=quarterly
2025-01-31,Swiggy Corporate,6236.28,Infrastructure,,UPI,NOR-20251196,type=normal; cycle=adhoc
2025-01-26,Employee Reimbursement - Karan Gupta,16657.64,Sales,,Reimbursement,REB-20250040,type=reimbursement; claimant=Karan Gupta
2025-01-13,Horizon Rare Vendor 024,11762.97,Design,,Bank Transfer,RVR-20250023,type=rare_vendor; first_seen=true
2025-01-14,Postman,24020.08,HR & Admin,,Credit Card,NOR-20250301,type=normal; cycle=adhoc
2025-01-02,Canva Teams,22322.48,,Equipment,UPI,NOR-20250445,type=normal; cycle=quarterly
2025-01-18,Adobe Creative Cloud,8121.40,HR & Admin,,UPI,NOR-20250120,type=normal; cycle=quarterly
2025-01-21,AWS Enterprise Support,206111.08,Infrastructure,,Credit Card,HSP-20250149,type=high_spend; variance_band=v2
2025-01-13,Google Workspace,20007.27,HR & Admin,,Credit Card,NOR-20250009,type=normal; cycle=monthly
2025-01-14,Adobe Creative Cloud,28794.86,Marketing,,Credit Card,NOR-20250855,type=normal; cycle=monthly
2025-01-29,Proxima Solutions,59338.09,,Software,Bank Transfer,DUP-20250031,type=duplicate; pair=031; copy=1
2025-01-27,Urban Company,27081.73,Engineering,,UPI,NOR-20251061,type=normal; cycle=adhoc
2025-01-23,Cloudflare,23882.54,HR & Admin,,Credit Card,NOR-20250143,type=normal; cycle=quarterly
2025-01-24,Atlassian,7132.88,,Marketing,Bank Transfer,NOR-20250498,type=normal; cycle=adhoc
2025-01-21,Canva Teams,12964.82,Infrastructure,Equipment,Credit Card,NOR-20251350,type=normal; cycle=quarterly
2025-01-02,Figma,3464.96,Marketing,Vendors,Bank Transfer,NOR-20250174,type=normal; cycle=monthly
2025-01-27,IndiaMART,9132.72,,Other,UPI,NOR-20250507,type=normal; cycle=adhoc
2025-01-05,Adobe Creative Cloud,28221.50,Marketing,Software,Credit Card,NOR-20250434,type=normal; cycle=adhoc
2025-01-08,Office Depot,16427.93,Marketing,Travel,UPI,NOR-20250939,type=normal; cycle=adhoc
2025-01-16,Uber for Business,21949.66,Operations,Software,Credit Card,NOR-20250889,type=normal; cycle=monthly
2025-01-26,Zenith Rare Vendor 058,9217.70,Marketing,Other,UPI,RVR-20250057,type=rare_vendor; first_seen=true
2025-01-31,Atlassian,1465.13,Infrastructure,,Bank Transfer,NOR-20250202,type=normal; cycle=quarterly
2025-01-22,Urban Company,13846.11,Sales,,UPI,NOR-20251171,type=normal; cycle=adhoc
2025-01-22,Google Workspace,12045.85,Product,Equipment,Bank Transfer,NOR-20251258,type=normal; cycle=adhoc
2025-01-26,Uber for Business,28898.09,,,UPI,NOR-20251388,type=normal; cycle=adhoc
2025-01-03,Northstar Consulting,5440.25,HR & Admin,Office,Bank Transfer,DUP-20250070,type=duplicate; pair=070; copy=1
2025-01-23,Office Depot,2365.05,HR & Admin,Marketing,Bank Transfer,NOR-20251130,type=normal; cycle=monthly
2025-01-28,Google Workspace,29241.70,,Vendors,Credit Card,NOR-20250130,type=normal; cycle=adhoc
2025-01-30,Miro,26690.14,HR & Admin,Vendors,Credit Card,NOR-20250384,type=normal; cycle=adhoc
2025-01-31,Azure Compute,159555.49,Sales,,Credit Card,HSP-20250160,type=high_spend; variance_band=v2
2025-01-18,Microsoft 365,8005.32,Sales,,Bank Transfer,NOR-20251015,type=normal; cycle=adhoc
2025-01-15,Slack Technologies,12779.42,HR & Admin,Travel,UPI,NOR-20251359,type=normal; cycle=adhoc
2025-01-10,HDFC Bank Charges,19171.76,Infrastructure,,Credit Card,NOR-20250083,type=normal; cycle=adhoc
2025-01-04,Uber for Business,8522.70,Sales,,Credit Card,NOR-20250568,type=normal; cycle=adhoc
2025-01-29,Zoom Communications,11800.56,Sales,,Bank Transfer,NOR-20250526,type=normal; cycle=quarterly
2025-01-29,Dropbox Business,4287.26,Design,Vendors,UPI,NOR-20250724,type=normal; cycle=adhoc
2025-01-01,Urban Company,12893.83,,,Credit Card,NOR-20251177,type=normal; cycle=monthly
2025-01-11,Canva Teams,5865.58,HR & Admin,Marketing,UPI,NOR-20250803,type=normal; cycle=adhoc
2025-01-05,LinkedIn Recruiter,6227.57,Infrastructure,,Credit Card,NOR-20251149,type=normal; cycle=quarterly
2025-01-05,Airtel Broadband,12618.46,,,UPI,NOR-20250320,type=normal; cycle=monthly
2025-01-30,Nimbus Data Labs,82243.88,,Other,Credit Card,DUP-20250014,type=duplicate; pair=014; copy=2
2025-01-19,Slack Technologies,16816.20,,Travel,Credit Card,NOR-20250558,type=normal; cycle=quarterly
2025-01-18,Airtel Broadband,24553.70,Marketing,,Bank Transfer,NOR-20250879,type=normal; cycle=quarterly
2025-01-09,Office Depot,7232.43,Infrastructure,,Bank Transfer,NOR-20250866,type=normal; cycle=adhoc
2025-01-02,Razorpay Fees,1779.27,HR & Admin,,UPI,NOR-20250214,type=normal; cycle=monthly
2025-01-09,Employee Reimbursement - Priya Nair,7048.08,HR & Admin,,Reimbursement,REB-20250016,type=reimbursement; claimant=Priya Nair
2025-01-04,GitHub Enterprise,6851.76,Infrastructure,,Credit Card,NOR-20250005,type=normal; cycle=quarterly
2025-01-08,BluePeak Systems,28783.64,,,Bank Transfer,DUP-20250020,type=duplicate; pair=020; copy=1
2025-01-20,Swiggy Corporate,5246.68,Sales,,Credit Card,NOR-20250613,type=normal; cycle=quarterly
2025-01-14,Oracle Cloud,126909.41,,Marketing,Credit Card,HSP-20250004,type=high_spend; variance_band=v1
2025-01-16,Datadog,23125.29,Design,,UPI,NOR-20250329,type=normal; cycle=monthly
2025-01-21,HubSpot Enterprise,217501.51,Sales,Vendors,Bank Transfer,HSP-20250045,type=high_spend; variance_band=v1
2025-01-15,Canva Teams,2022.55,HR & Admin,,Credit Card,NOR-20250154,type=normal; cycle=quarterly
2025-01-31,BluePeak Systems,89469.76,Engineering,,Credit Card,DUP-20250054,type=duplicate; pair=054; copy=1
2025-01-06,Employee Reimbursement - Sahil Verma,23776.68,Marketing,,Reimbursement,REB-20250076,type=reimbursement; claimant=Sahil Verma
2025-01-14,AWS Cloud Services,17549.19,,Vendors,UPI,NOR-20251071,type=normal; cycle=quarterly
2025-01-12,Google Workspace,15684.73,Infrastructure,,Credit Card,NOR-20251166,type=normal; cycle=quarterly
2025-01-26,Zomato Business,5396.46,Marketing,,Credit Card,NOR-20250505,type=normal; cycle=monthly
2025-01-04,Saffron Rare Vendor 031,22371.64,,Other,UPI,RVR-20250030,type=rare_vendor; first_seen=true
2025-01-19,AWS Cloud Services,10505.00,Design,Vendors,UPI,NOR-20251023,type=normal; cycle=monthly
2025-01-30,Nimbus Data Labs,50383.86,Sales,Other,Bank Transfer,DUP-20250040,type=duplicate; pair=040; copy=2
2025-01-09,Echo Rare Vendor 042,79239.59,HR & Admin,,UPI,RVR-20250041,type=rare_vendor; first_seen=true
2025-01-04,Oracle Cloud,224745.14,Infrastructure,,Credit Card,HSP-20250227,type=high_spend; variance_band=v1
2025-01-26,Jio Fiber,10120.74,HR & Admin,,Bank Transfer,NOR-20250631,type=normal; cycle=monthly
2025-01-04,Snowflake,83299.69,Sales,Vendors,Bank Transfer,HSP-20250188,type=high_spend; variance_band=v1
2025-01-28,Azure Compute,118622.38,Sales,Software,Credit Card,HSP-20250077,type=high_spend; variance_band=v2
2025-01-31,GitHub Enterprise,20068.97,Marketing,Travel,Bank Transfer,NOR-20250695,type=normal; cycle=quarterly
2025-01-17,Google Workspace,13767.14,Operations,Travel,UPI,NOR-20250255,type=normal; cycle=quarterly
2025-01-08,LinkedIn Recruiter,26656.28,Product,Software,Bank Transfer,NOR-20250607,type=normal; cycle=monthly
2025-01-01,Atlassian,1948.03,Operations,Equipment,UPI,NOR-20250916,type=normal; cycle=monthly
2025-01-25,Northstar Consulting,11109.35,HR & Admin,,Credit Card,DUP-20250073,type=duplicate; pair=073; copy=1
2025-01-24,ICICI Bank Charges,10729.54,Design,Software,Credit Card,NOR-20251377,type=normal; cycle=quarterly
2025-01-09,Ola Corporate,4891.20,Engineering,Software,UPI,NOR-20251110,type=normal; cycle=quarterly
2025-01-24,Zoom Communications,27706.97,HR & Admin,Travel,Bank Transfer,NOR-20250961,type=normal; cycle=quarterly
2025-01-24,IndiaMART,11373.07,,,Credit Card,NOR-20251073,type=normal; cycle=monthly
2025-01-19,Google Workspace,6461.33,Product,Marketing,Credit Card,NOR-20250914,type=normal; cycle=monthly
2025-01-26,GCP BigQuery,173164.52,Marketing,,Credit Card,HSP-20250166,type=high_spend; variance_band=v1
2025-01-28,Google Workspace,8800.01,Product,,UPI,NOR-20250340,type=normal; cycle=monthly
2025-01-20,Jio Fiber,17382.18,Product,Other,UPI,NOR-20250318,type=normal; cycle=monthly
2025-01-29,Miro,19718.26,Operations,Marketing,UPI,NOR-20250658,type=normal; cycle=monthly
2025-01-27,Employee Reimbursement - Neha Sharma,8301.49,Operations,,Reimbursement,REB-20250047,type=reimbursement; claimant=Neha Sharma
2025-01-12,AWS Cloud Services,2319.24,Operations,,Credit Card,NOR-20250576,type=normal; cycle=quarterly
2025-01-06,Freshworks,3869.85,Infrastructure,Other,Bank Transfer,NOR-20250488,type=normal; cycle=adhoc
2025-01-01,Vendor ABC Pvt Ltd,67988.60,Sales,,Credit Card,DUP-20250057,type=duplicate; pair=057; copy=2
2025-01-05,Apex Services,70981.53,Engineering,Software,Bank Transfer,DUP-20250062,type=duplicate; pair=062; copy=1
2025-01-06,Employee Reimbursement - Vikram Rao,10726.30,Sales,Vendors,Reimbursement,REB-20250082,type=reimbursement; claimant=Vikram Rao
2025-01-27,Microsoft 365,7407.76,Infrastructure,,UPI,NOR-20250406,type=normal; cycle=adhoc
2025-01-09,Adobe Creative Cloud,28212.84,Product,Office,UPI,NOR-20251308,type=normal; cycle=monthly
2025-01-11,Adobe Creative Cloud,11958.46,Marketing,,Credit Card,NOR-20250591,type=normal; cycle=adhoc
2025-01-06,AWS Cloud Services,5822.27,HR & Admin,Travel,Bank Transfer,NOR-20250229,type=normal; cycle=monthly
2025-01-10,IndiaMART,6425.12,Infrastructure,Marketing,Bank Transfer,NOR-20250463,type=normal; cycle=quarterly
2025-01-07,Northstar Consulting,28303.22,Design,Vendors,Credit Card,DUP-20250079,type=duplicate; pair=079; copy=2
2025-01-16,Adobe Creative Cloud,9465.32,,Office,Bank Transfer,NOR-20250559,type=normal; cycle=adhoc
2025-01-19,Uber for Business,22735.82,,Travel,UPI,NOR-20250381,type=normal; cycle=adhoc
2025-01-04,Canva Teams,28119.02,Engineering,Marketing,Credit Card,NOR-20250403,type=normal; cycle=monthly
2025-01-02,Cloudflare,6366.82,Product,Equipment,UPI,NOR-20250960,type=normal; cycle=monthly
2025-01-29,LinkedIn Recruiter,17060.36,HR & Admin,Vendors,UPI,NOR-20250017,type=normal; cycle=quarterly
2025-01-26,HDFC Bank Charges,6559.34,Product,Software,UPI,NOR-20250391,type=normal; cycle=quarterly
2025-01-23,HDFC Bank Charges,26756.27,HR & Admin,Vendors,Credit Card,NOR-20251431,type=normal; cycle=monthly
2025-01-15,Google Workspace,1855.32,Product,,Credit Card,NOR-20250518,type=normal; cycle=monthly
2025-01-16,Cloudflare,4023.57,Marketing,Vendors,Credit Card,NOR-20250546,type=normal; cycle=monthly
2025-01-11,Postman,25639.73,Operations,Office,Credit Card,NOR-20250719,type=normal; cycle=adhoc
2025-01-26,Swiggy Corporate,29440.66,HR & Admin,Vendors,Credit Card,NOR-20250291,type=normal; cycle=quarterly
2025-01-19,Echo Rare Vendor 052,67645.78,Sales,,UPI,RVR-20250051,type=rare_vendor; first_seen=true
2025-01-20,Meta Ads,86219.71,Sales,Vendors,Credit Card,HSP-20250092,type=high_spend; variance_band=v2
2025-01-31,Swiggy Corporate,9423.97,,Vendors,Bank Transfer,NOR-20251324,type=normal; cycle=monthly
2025-01-07,Salesforce,56519.69,,Software,Credit Card,HSP-20250089,type=high_spend; variance_band=v2
2025-01-21,Databricks,177822.53,Sales,Equipment,Bank Transfer,HSP-20250158,type=high_spend; variance_band=v1
2025-01-11,IndiaMART,5007.76,Operations,Software,Bank Transfer,NOR-20250095,type=normal; cycle=quarterly
2025-01-28,Cloudflare,2939.24,Design,,Bank Transfer,NOR-20250439,type=normal; cycle=adhoc
2025-01-09,Urban Company,25933.09,Engineering,Other,UPI,NOR-20250298,type=normal; cycle=quarterly
2025-01-05,Postman,24740.11,HR & Admin,Marketing,Credit Card,NOR-20250973,type=normal; cycle=monthly
2025-01-02,Snowflake,85278.05,,Vendors,Bank Transfer,HSP-20250085,type=high_spend; variance_band=v2
2025-01-25,Google Workspace,3170.72,Marketing,Equipment,UPI,NOR-20251056,type=normal; cycle=monthly
2025-01-22,Nova Rare Vendor 010,61601.09,Design,Software,UPI,RVR-20250009,type=rare_vendor; first_seen=true
2025-01-23,Postman,10505.71,,Marketing,Credit Card,NOR-20251326,type=normal; cycle=quarterly
2025-01-24,Figma,4765.92,Engineering,Office,Bank Transfer,NOR-20250994,type=normal; cycle=quarterly
2025-01-19,Adobe Creative Cloud,17155.05,,Other,UPI,NOR-20250207,type=normal; cycle=monthly
2025-01-03,Microsoft 365,7639.62,Marketing,,Bank Transfer,NOR-20250469,type=normal; cycle=quarterly
2025-01-25,HubSpot Enterprise,202110.90,Sales,Vendors,Credit Card,HSP-20250153,type=high_spend; variance_band=v2
2025-01-19,GitHub Enterprise,20532.33,Infrastructure,,Bank Transfer,NOR-20250309,type=normal; cycle=monthly
2025-01-09,Microsoft 365,13325.57,Product,,UPI,NOR-20250023,type=normal; cycle=adhoc
2025-01-27,Airtel Broadband,20559.49,Engineering,,UPI,NOR-20250524,type=normal; cycle=quarterly
2025-01-17,Slack Technologies,16383.16,Product,,UPI,NOR-20251195,type=normal; cycle=monthly
2025-01-08,AWS Enterprise Support,164203.69,Sales,,Bank Transfer,HSP-20250186,type=high_spend; variance_band=v1
2025-01-16,Miro,3043.36,HR & Admin,Office,UPI,NOR-20250319,type=normal; cycle=adhoc
2025-01-22,RapidOps Vendor,8289.03,,Other,Credit Card,DUP-20250016,type=duplicate; pair=016; copy=1
2025-01-06,Urban Company,2102.61,,Other,Credit Card,NOR-20251089,type=normal; cycle=monthly
2025-01-30,LinkedIn Recruiter,10372.37,Infrastructure,Travel,UPI,NOR-20250859,type=normal; cycle=adhoc
2025-01-05,IndiaMART,9488.19,Sales,,Credit Card,NOR-20251224,type=normal; cycle=adhoc
2025-01-16,Canva Teams,17730.34,Engineering,Other,UPI,NOR-20250097,type=normal; cycle=quarterly
2025-01-25,Jio Fiber,3011.98,Engineering,Equipment,UPI,NOR-20251433,type=normal; cycle=monthly
2025-01-12,Slack Technologies,27615.73,HR & Admin,Vendors,UPI,NOR-20250829,type=normal; cycle=adhoc
2025-01-13,Salesforce,119476.30,Engineering,Equipment,Credit Card,HSP-20250068,type=high_spend; variance_band=v2
2025-01-18,Google Ads,160020.95,Marketing,,Bank Transfer,HSP-20250015,type=high_spend; variance_band=v2
2025-01-31,Orbit Rare Vendor 048,19941.24,Design,,Bank Transfer,RVR-20250047,type=rare_vendor; first_seen=true
2025-01-31,Zoom Communications,11705.27,Operations,Office,UPI,NOR-20250425,type=normal; cycle=adhoc
2025-01-16,Freshworks,7373.08,Sales,,UPI,NOR-20251123,type=normal; cycle=monthly
2025-01-13,Jio Fiber,21803.03,Sales,,Bank Transfer,NOR-20251238,type=normal; cycle=monthly
2025-01-14,BluePeak Systems,22294.45,Design,Other,Bank Transfer,DUP-20250003,type=duplicate; pair=003; copy=2
2025-01-11,Zomato Business,24833.01,,Travel,Bank Transfer,NOR-20250516,type=normal; cycle=quarterly
2025-01-06,Office Depot,27651.35,Engineering,Software,Bank Transfer,NOR-20251002,type=normal; cycle=monthly
2025-01-07,Freshworks,3382.91,Product,,UPI,NOR-20251267,type=normal; cycle=adhoc
